time,logger,level,database,message,exception
2013-05-22 20:58:12.9710,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,"Inserted a new document with key 'SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4', update: False, ",
2013-05-22 20:58:12.9710,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Put document SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4 with etag 00000001-0000-0100-0000-000000000002,
2013-05-22 20:58:12.9710,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 4 because: PUT SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4,
2013-05-22 20:58:12.9710,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0033535,
2013-05-22 20:58:12.9710,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:12.9710,Raven.Database.Server.HttpServer,Debug,,Request #  10: POST    -     4 ms - Paramore_Integration_Tests - 200 - /bulk_docs,
2013-05-22 20:58:13.0152,Raven.Database.Server.HttpServer,Debug,,"	PUT SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4
",
2013-05-22 20:58:13.0242,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 5 because: WORK BY IndexingExecuter,
2013-05-22 20:58:13.0242,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0100-0000-000000000001: (SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4),
2013-05-22 20:58:13.0242,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"After read triggers executed, 1 documents remained",
2013-05-22 20:58:13.0242,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0100-0000-000000000001: (SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4)",
2013-05-22 20:58:13.0242,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:13.0242,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4),
2013-05-22 20:58:13.2523,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: speakerdocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4
	Tag I-: SpeakerDocuments
	LastModified I-: 2013-05-22T19:58:12.9710801Z
",
